%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
104.0, 35983.6934189431, 41322.78756174893, -34158.24880102263, -21677.66054602391, -21420.928409210257, -26705.797219967513, -9014.883221969989, -29383.893833624585, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056015E9, 0.0, 2022-05-06 15:40:01.605
105.0, 35966.70609315707, 41327.16850366217, -34114.81936154597, -21724.196877979863, -21383.399830269795, -26689.011059881577, -8973.376032516484, -29325.511077107323, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056142E9, 0.0, 2022-05-06 15:40:01.605
106.0, 35976.38439850621, 41369.59211463835, -34055.02844512802, -21759.31146851915, -21341.60206813837, -26622.536971871494, -8934.841625075534, -29234.807698107685, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056209E9, 0.0, 2022-05-06 15:40:01.605
107.0, 36004.03350639743, 41367.44634717063, -34036.94588386368, -21838.302533424205, -21351.07920778742, -26602.018070461523, -8948.766761871191, -29232.863096340072, 0.108, 0.838, 0.49, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056263E9, 0.0, 2022-05-06 15:40:01.605
108.0, 36036.33177713535, 41298.960602159576, -34026.3288052474, -21922.635665254078, -21357.024771812532, -26606.89075075278, -8985.177753588887, -29243.100195300605, 0.17200000000000001, 0.882, 0.514, 192.0, 5.0, 96.0, 27.0, 144.0, 16.0, 16.0, 0.0, 0.0, 0.0, 1.651844401605632E9, 0.0, 2022-05-06 15:40:01.605
109.0, 36029.112163676284, 41271.08797682381, -34011.5766539069, -21997.40225045708, -21357.449454957183, -26629.84599230838, -9014.771463247713, -29261.27216354277, 0.17200000000000001, 0.882, 0.514, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056376E9, 0.0, 2022-05-06 15:40:01.605
110.0, 36015.075268158354, 41265.43298547661, -33973.89161275526, -22021.40802400208, -21337.13171924731, -26592.228006390098, -9003.081500897588, -29234.651235896497, 0.17200000000000001, 0.882, 0.514, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605643E9, 0.0, 2022-05-06 15:40:01.605
111.0, 36015.768172236465, 41272.00439834647, -33944.1637926297, -22033.746186941407, -21318.579771349403, -26562.947221153645, -8985.043643122155, -29225.26350322527, 0.17200000000000001, 0.882, 0.514, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056485E9, 0.0, 2022-05-06 15:40:01.605
112.0, 36036.89057074673, 41281.906221140176, -33936.56419951489, -22046.12905336965, -21316.54576260397, -26558.09689260684, -8976.259407551219, -29224.794116591707, 0.17200000000000001, 0.882, 0.514, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605654E9, 0.0, 2022-05-06 15:40:01.605
113.0, 36057.45417564562, 41260.225029018526, -33965.956743473624, -22072.057076937806, -21349.626344397824, -26592.65268953475, -9024.44976859686, -29272.895070659528, 0.17200000000000001, 0.882, 0.514, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016056595E9, 0.0, 2022-05-06 15:40:01.605
